,BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
16945,Varanga,Round neck womens kurta - burgundy,"Size:Medium,Small","Rs
3399",1359,60% off,Indianwear-Women
16947,Vastranand,Solid zari linen festive wear womens regular saree - blue,Nan,"Rs
4500",2025,55% off,Indianwear-Women
16948,Vastranand,Solid zari silk blend festive wear womens regular saree - pink,Nan,"Rs
1995",1396,30% off,Indianwear-Women
16949,Vastranand,Solid zari georgette festive wear womens regular saree - red,Nan,"Rs
5500",2750,50% off,Indianwear-Women
16950,Varanga,Printed cotton v neck womens calf length kurta - turquoise,"Size:Small,X-Large,XX-Large","Rs
3299",824,75% off,Indianwear-Women
16951,Vastranand,Solid zari linen festive wear womens regular saree - blue,Nan,"Rs
3475",1911,45% off,Indianwear-Women
16952,Vastranand,Stripes zari linen festive wear womens regular saree - green,Nan,"Rs
5500",2200,60% off,Indianwear-Women
16954,Haute curry,Solid mid thigh casual wear high low tunic - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
899",449,50% off,Indianwear-Women
16955,Vastranand,Solid zari viscose blend festive wear womens regular saree - green,Nan,"Rs
5555",3333,40% off,Indianwear-Women
16957,Vastranand,Checks zari linen festive wear womens regular saree - multi,Nan,"Rs
3475",1563,55% off,Indianwear-Women
16958,Vastranand,Structured zari silk blend festive wear womens regular saree - pink,Nan,"Rs
5700",2565,55% off,Indianwear-Women
16960,Varanga,Zari v- neck silk blend designer womens ethnic set - pink,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
5999",2099,65% off,Indianwear-Women
16961,Janasya,Womens purple poly silk kurta (jne2265) - purple,Size:X-Small,"Rs
1549",542,65% off,Indianwear-Women
16962,Janasya,Solid silk mandarin womens kurta palazzo set with dupatta - white,Size:X-Large,"Rs
3349",1674,50% off,Indianwear-Women
16963,Indya,Printed georgette round neck womens regular fit tunic - maroon,"Size:Small,X-Small","Rs
2400",1200,50% off,Indianwear-Women
16964,Janasya,Solid pure cotton womens palazzo pants - peacock,Size:X-Small,"Rs
1499",674,55% off,Indianwear-Women
16965,Amukti,Printed rayon womens kurta - ivory,Size:Small,"Rs
1599",799,50% off,Indianwear-Women
16966,Aurelia,V- neck cotton designer womens ethnic set - grey,Size:Medium,"Rs
2299",1609,30% off,Indianwear-Women
16967,Janasya,Solid pure cotton womens palazzo pants - pink,"Size:Small,X-Small,XX-Large","Rs
1499",599,60% off,Indianwear-Women
16968,Aurelia,Y/d shirt collar with slit cotton womens flared dress - navy,"Size:Small,X-Small","Rs
1699",849,50% off,Indianwear-Women
16969,Global desi,Embroidered polyester round neck womens knee length kurta - orange,Size:XX-Large,"Rs
3299",2309,30% off,Indianwear-Women
16970,Indya,Floral georgette scoop neck womens regular tunic - black,Size:Medium,"Rs
4500",2250,50% off,Indianwear-Women
16971,Global desi,Floral polyester mandarin womens top - light blue,"Size:XL,Small,X-Small","Rs
1999",1299,35% off,Indianwear-Women
16972,Global desi,Womens regular fit floral pattern a-line kurta - aqua,"Size:Medium,Small,XX-Large","Rs
3999",1599,60% off,Indianwear-Women
16974,W,Yd-dobby dobby womens non festive slim pants - black,Size:6,"Rs
1499",899,40% off,Indianwear-Women
16975,W,Printed viscose round neck womens calf length kurta - magenta,Size:10,"Rs
1799",899,50% off,Indianwear-Women
16976,Neerus,Floral rayon round neck womens salwar suit - grey,"Size:X-Large,XX-Large","Rs
2399",1919,20% off,Indianwear-Women
16977,W,Printed viscose mandarin womens calf length kurta - blue,Size:6,"Rs
1799",1349,25% off,Indianwear-Women
16979,Indya,Womens round neck sequined kurta - yellow,"Size:Small,X-Small","Rs
2600",1300,50% off,Indianwear-Women
16981,Aurelia,Solid viscose v-neck womens above knee kurta - black,Size:Medium,"Rs
1599",799,50% off,Indianwear-Women
16982,Global desi,Round neck straight women kurtas - yellow,"Size:Large,Small,X-Small","Rs
1799",1169,35% off,Indianwear-Women
16983,Janasya,Womens pink cotton kurta (jne3391) - pink,Size:X-Small,"Rs
2049",717,65% off,Indianwear-Women
16984,W,Printed viscose round neck womens calf length kurta - green,"Size:8,10","Rs
1899",949,50% off,Indianwear-Women
16985,Janasya,Printed round neck regular fit womens kurta - black,"Size:Small,X-Small","Rs
1499",599,60% off,Indianwear-Women
16986,Faballey,Floral square neck cotton womens knee length dress - multi,"Size:Small,X-Small","Rs
1950",975,50% off,Indianwear-Women
16987,Kami kubi,Printed silk blend v-neck womens flared ethnic set - pink,"Size:Large,Medium","Rs
4999",2249,55% off,Indianwear-Women
16989,Janasya,Cotton womens kurta with palazzo and dupatta set - multi,Size:Medium,"Rs
3799",2089,45% off,Indianwear-Women
16990,Amukti,Geometric cotton mandarin collar womens straight kurta - orange,Size:Small,"Rs
1299",909,30% off,Indianwear-Women
16991,Aurelia,Dyed cotton round neck womens straight kurta - purple,Size:Small,"Rs
1049",734,30% off,Indianwear-Women
16992,Amukti,Embroidered cotton womens kurta - white,Size:X-Large,"Rs
2499",1249,50% off,Indianwear-Women
16993,Global desi,Floral shirt collar womens kurta - pink,"Size:Small,X-Small","Rs
2799",1399,50% off,Indianwear-Women
16994,Juniper,Solid rayon tie up neck womens a-line kurta - natural,"Size:4X-Large,XXX-Large","Rs
1599",799,50% off,Indianwear-Women
16995,Indya,Embroidered georgette womens regular length dhoti jumpsuit - blue,"Size:Small,X-Small","Rs
3500",1750,50% off,Indianwear-Women
16996,Janasya,Cotton womens kurta and pant set - turquoise,Size:Small,"Rs
2199",989,55% off,Indianwear-Women
16997,Global desi,Solid v-neck womens gown - mid blue,"Size:Large,X-Small","Rs
2399",1439,40% off,Indianwear-Women
16998,W,Solid regular fit viscose womens festive pants - green,Size:10,"Rs
1299",779,40% off,Indianwear-Women
16999,Janasya,Round neck straight designer womens kurta - green,Size:Small,"Rs
1399",559,60% off,Indianwear-Women
17000,Amukti,Womens white check printed kurta - white,Size:XX-Large,"Rs
1599",799,50% off,Indianwear-Women
17002,Aurelia,Dyed rayon v-neck womens above knee kurta - red,"Size:4X-Large,Large,Medium,Small,XXX-Large","Rs
1499",899,40% off,Indianwear-Women
17003,Yuris,Printed v-neck cotton womens kurta palazzo set - blue,"Size:Small,XX-Large","Rs
3499",1399,60% off,Indianwear-Women
17004,Yuris,Lace round neck cotton womens kurta palazzo set - multi,Size:Small,"Rs
3499",1399,60% off,Indianwear-Women
17005,Yuris,Gotta patti round neck cotton womens kurta palazzo set - peach,Size:XX-Large,"Rs
2799",1259,55% off,Indianwear-Women
17006,Yuris,Gotta patti mandarin neck cotton womens kurta palazzo set - dark green,"Size:Medium,Small","Rs
2499",1249,50% off,Indianwear-Women
17007,Global desi,Womens tie up neck printed top - off white,"Size:XL,XX-Large","Rs
1499",599,60% off,Indianwear-Women
17008,Varanga,Womens mandarin collar woven kurta - fuchsia,Size:Small,"Rs
1999",799,60% off,Indianwear-Women
17009,Juniper,Woven design mandarin collar a-line fit womens kurta - white,Size:Small,"Rs
1999",999,50% off,Indianwear-Women
17010,Varanga,Womens printed yoke kurta with pompom lace on sleeves with overall elasticated printed palazzo - blue,Size:XX-Large,"Rs
3399",1699,50% off,Indianwear-Women
17011,Varanga,Womens lime multi color embroidery kurta with stylised bell sleeves - lime green,Size:Small,"Rs
2199",989,55% off,Indianwear-Women
17013,Juniper,Womens peach rayon flex embroidered a-line kurta with pocket - peach,Size:X-Large,"Rs
1799",899,50% off,Indianwear-Women
17014,Global desi,Womens solid top - peach,"Size:Small,X-Small","Rs
1999",799,60% off,Indianwear-Women
17015,Varanga,Viscose rayon womens casual trousers - black,"Size:Medium,Small","Rs
1499",749,50% off,Indianwear-Women
17016,Juniper,Womens maroon georgette embroidered tiered dress with poly crepe lining & dori - maroon,Size:XX-Large,"Rs
3299",1484,55% off,Indianwear-Women
17018,Ziyaa,Printed polyester round neck womens straight kurta - pink,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1332",666,50% off,Indianwear-Women
17019,Global desi,Full length polyester polka dots womens festive wear dupatta - mint,Nan,"Rs
1899",1234,35% off,Indianwear-Women
17020,Juniper,Printed rayon mandarin womens flared dress - indigo,"Size:Large,Medium,Small,X-Large","Rs
1999",1299,35% off,Indianwear-Women
17025,Global desi,Solid viscose round neck womens regular kurta - sage,"Size:XL,Large,Medium,Small","Rs
1699",1359,20% off,Indianwear-Women
17027,Ziyaa,Printed round neck polyester womens salwar kurta and dupatta set - pink,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2285",1599,30% off,Indianwear-Women
17029,Ziyaa,Checks round neck rayon womens ethnic set - blue,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3120",1248,60% off,Indianwear-Women
17030,Global desi,Solid cotton womens festive wear pallazo - natural,"Size:XL,Large,Medium,Small","Rs
2499",1749,30% off,Indianwear-Women
17031,Stop,Womens solid legging for winter wear - charcoal,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
899",449,50% off,Indianwear-Women
17032,Global desi,Stripes mandarin neck cotton womens flared dress - pink,"Size:Large,Medium,Small,X-Small","Rs
2999",1949,35% off,Indianwear-Women
17033,Janasya,Floral polyester blend mandarin neck womens a-line top - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large","Rs
1699",849,50% off,Indianwear-Women
17034,Global desi,Striped round neck womens kurta - white,"Size:XL,Large,Medium,Small,X-Small","Rs
1799",899,50% off,Indianwear-Women
17036,Global desi,Polyester festive wear women saree - wine,"Size:XL,Large,Medium,Small,X-Small","Rs
5999",4799,20% off,Indianwear-Women
17038,Indya,Embroidered georgette round neck womens regular tunic - pink,"Size:Large,Medium,Small,X-Small","Rs
3200",1600,50% off,Indianwear-Women
17039,Janasya,Solid rayon v neck womens salwar suit - maroon,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large","Rs
3599",1439,60% off,Indianwear-Women
17040,Fusion beats,Womens solid pants - pink,"Size:Small,X-Large,XX-Large","Rs
1999",799,60% off,Indianwear-Women
17044,Ziyaa,Printed polyester off shoulder womens ethnic set - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
4510",1804,60% off,Indianwear-Women
17045,Fusion beats,Womens round neck solid embroidered kurta - sage,"Size:Medium,Small,XX-Large","Rs
2799",1119,60% off,Indianwear-Women
17047,Janasya,Womens dark green poly crepe kurta with attached scarf (jne3383) - dark green,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1699",679,60% off,Indianwear-Women
17048,W,Printed viscose mandarin womens kurta - blue,"Size:6,8,10,12,14,16,18","Rs
1899",1424,25% off,Indianwear-Women
17049,W,Regular cotton woven designer womens pants - green,"Size:8,12,14","Rs
1699",1019,40% off,Indianwear-Women
17051,Nachtmann,Geometric viscose round neck womens straight top - aqua,"Size:XL,Large,Medium,Small,X-Small,XX-Large","Rs
1599",1279,20% off,Indianwear-Women
17052,Janasya,Cotton flex womens kurta with pant and dupatta set - red,"Size:Large,Medium","Rs
3798",1709,55% off,Indianwear-Women
17053,Varanga,Printed round neck cotton womens ethnic set - yellow,"Size:Large,Medium,X-Large,XX-Large","Rs
4999",1749,65% off,Indianwear-Women
17056,W,Printed cotton mandarin womens ankle length kurta - yellow,"Size:12,14,16","Rs
2799",1399,50% off,Indianwear-Women
17057,Janasya,Floral cotton mandarin womens kurta palazzo set with dupatta - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
3839",2111,45% off,Indianwear-Women
17058,Indya,Womens printed a-line tunic - blue,"Size:Medium,Small,X-Small","Rs
2400",1200,50% off,Indianwear-Women
17060,Fusion beats,Womens round neck printed kurta - brown,"Size:X-Large,XX-Large,XXX-Large","Rs
2299",919,60% off,Indianwear-Women
17061,Ziyaa,Printed polyester v neck womens kurta palazzo set - off white,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
4645",1858,60% off,Indianwear-Women
17064,Global desi,Solid viscose round neck women flared tops - teal,"Size:XL,Large,Medium,Small,X-Small","Rs
1699",1189,30% off,Indianwear-Women
17066,Global desi,Solid polyester womens regular palazzo - pink,"Size:XL,Large,Medium,Small,X-Small","Rs
2699",1754,35% off,Indianwear-Women
17067,Indya,Embroidered silk scoop neck womens regular tunic - purple,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
3200",1600,50% off,Indianwear-Women
17068,Indya,Geometric viscose scoop neck womens a-line tunic - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2400",1920,20% off,Indianwear-Women
17069,Fusion beats,Womens solid palazzos - lilac,"Size:Large,Medium,Small,X-Small","Rs
1999",799,60% off,Indianwear-Women
17071,Neerus,Printed rayon mandarin womens ankle length kurta - red,Size:XXX-Large,"Rs
2399",1199,50% off,Indianwear-Women
17072,Ziyaa,Printed rayon round neck womens straight kurta - maroon,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2063",825,60% off,Indianwear-Women
17074,Haute curry,Printed flex round neck womens regular top - grey,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
899",449,50% off,Indianwear-Women
17075,Janasya,Round neck straight designer womens kurta - yellow,"Size:Medium,Small,X-Large,X-Small,XX-Large","Rs
1399",559,60% off,Indianwear-Women
17076,Janasya,Geometric round neck rayon womens calf length kurta - navy,"Size:Large,Medium,Small,X-Small,XXX-Large","Rs
1649",824,50% off,Indianwear-Women
17077,Yuris,Gotta patti round neck cotton womens kurta palazzo set - blue,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3499",1399,60% off,Indianwear-Women
17081,Varanga,Wine silk floral zari and sequins embroidery kurta with gota work sleeves with golden woven trousers - magenta,"Size:Large,Small,X-Large","Rs
3799",1519,60% off,Indianwear-Women
17082,Global desi,Geometric shirt collar womens top - natural,"Size:XL,Large,Medium,Small,X-Small","Rs
1699",849,50% off,Indianwear-Women
17083,Indya,Floral print viscose round neck womens regular tunic - green,"Size:Large,Medium,Small,X-Small","Rs
2200",1100,50% off,Indianwear-Women
17085,De moza,Printed cotton regular fit womens palazzos - indigo,"Size:Large,Medium,Small,X-Large","Rs
1499",899,40% off,Indianwear-Women
17086,Janasya,Womens peach poly crepe kurta (jne3454) - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1549",619,60% off,Indianwear-Women
17087,Ziyaa,Printed crepe round neck womens straight kurta - peach,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1715",600,65% off,Indianwear-Women
17088,Kami kubi,Printed silk blend v neck womens ethnic set - natural,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
5999",2399,60% off,Indianwear-Women
17090,Janasya,Floral round neck crepe womens calf length kurta - peacock,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1499",524,65% off,Indianwear-Women
17092,Ziyaa,Floral round neck rayon womens ethnic set - pink,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2333",933,60% off,Indianwear-Women
17095,De moza,Dyed regular fit rayon womens casual wear pants - navy,"Size:Large,Medium,Small,X-Large","Rs
1299",779,40% off,Indianwear-Women
17096,Janasya,Printed cotton round neck womens empire line top - green,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1499",824,45% off,Indianwear-Women
17099,Ziyaa,Floral round neck crepe womens salwar kurta and dupatta set - pink,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3903",1561,60% off,Indianwear-Women
17100,Kami kubi,Polka dots viscose mandarin neck womens a-line ethnic set - yellow,"Size:Large,Medium,Small,X-Small,XX-Large","Rs
4999",1999,60% off,Indianwear-Women
17102,Global desi,Geometric polyester round neck womens regular dress - maroon,"Size:XL,Large,Medium,X-Small,XX-Large","Rs
3799",1899,50% off,Indianwear-Women
17103,Global desi,Floral round neck straight womens kurta - pink,"Size:Large,Medium,Small,X-Small","Rs
1999",1299,35% off,Indianwear-Women
17104,Janasya,Womens magenta poly crepe kurta with pant (set130) - red,"Size:Medium,Small,X-Large,X-Small","Rs
2299",1034,55% off,Indianwear-Women
17105,Ziyaa,Printed crepe mandarin womens straight kurta - maroon,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1390",625,55% off,Indianwear-Women
17106,Stop,Printed flex mandarin collar womens a-line kurta - yellow,"Size:S,M,L,X-Large,X-Small,XX-Large","Rs
1299",649,50% off,Indianwear-Women
17109,Janasya,Floral cotton mandarin womens kurta palazzo set with dupatta - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large","Rs
3699",1479,60% off,Indianwear-Women
17114,Ziyaa,Geometric rayon round neck womens straight kurta - maroon,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1830",732,60% off,Indianwear-Women
17116,Global desi,Womens regular fit floral kurta - off white,"Size:XL,Large,Medium,Small,XX-Large","Rs
1999",799,60% off,Indianwear-Women
17118,Janasya,Poly crepe womens kurta - maroon,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1599",639,60% off,Indianwear-Women
17119,Ziyaa,Printed polyester round neck womens ethnic set - peacock,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
4637",1854,60% off,Indianwear-Women
17121,Varkala silk sarees,Kanchipuram weave zari border and rich zari pallu with contrast blouse piece - multi,Nan,"Rs
1999",1499,25% off,Indianwear-Women
17122,Ziyaa,Floral mandarin rayon womens ethnic set - pink,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3023",1209,60% off,Indianwear-Women
17123,Varanga,Womens v-neck solid kurta set - yellow,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
5299",2384,55% off,Indianwear-Women
17124,Fusion beats,Womens round neck slub top - natural,"Size:Large,Medium,Small,X-Large","Rs
1499",599,60% off,Indianwear-Women
17125,Janasya,Printed round neck straight designer womens kurtas - yellow,"Size:Medium,Small,X-Large,X-Small,XX-Large","Rs
1399",559,60% off,Indianwear-Women
17128,Fusion beats,Womens round neck printed top - lime green,"Size:X-Large,XX-Large","Rs
1399",559,60% off,Indianwear-Women
17129,Ziyaa,Printed crepe boat neck womens straight kurta - white,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1248",561,55% off,Indianwear-Women
17130,Ziyaa,Solid round neck polyester womens salwar kurta and dupatta set - cream,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3609",1443,60% off,Indianwear-Women
17131,Ziyaa,Printed round neck crepe womens ethnic set - natural,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2755",1102,60% off,Indianwear-Women
17134,Indya,Geometric viscose square neck womens a-line tunic - yellow,"Size:Medium,Small,X-Large,X-Small,XX-Large","Rs
2950",2360,20% off,Indianwear-Women
17136,Janasya,Solid cotton lycra casual wear womens stitched blouse - gold,Nan,"Rs
1099",549,50% off,Indianwear-Women
17137,Indya,Embroidered georgette womens regular length pants - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2600",1300,50% off,Indianwear-Women
17138,Myshka,Solid cotton round neck womens kurta palazzo set - red,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
4999",2499,50% off,Indianwear-Women
17139,Fusion beats,Womens printed kurta - yellow,"Size:Large,Medium,Small,X-Large","Rs
1899",759,60% off,Indianwear-Women
17140,Fusion beats,Womens boat neck printed kurta - yellow,"Size:Large,Medium,Small","Rs
1699",679,60% off,Indianwear-Women
17141,Stop,Womens solid knee length casual wear straight kurta - mustard,"Size:S,M,L,X-Large,X-Small,XX-Large","Rs
899",449,50% off,Indianwear-Women
17142,Kashish,Solid open a-line fit womens kurta - grey,"Size:Large,Medium,Small,X-Large","Rs
1699",849,50% off,Indianwear-Women
17145,Ziyaa,Printed polyester off shoulder womens ethnic set - mustard,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
4767",1906,60% off,Indianwear-Women
17146,Ziyaa,Printed collar neck rayon womens ethnic set - navy,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3045",1218,60% off,Indianwear-Women
17148,Global desi,Floral viscose v neck womens knee length kurta - grey,"Size:XL,Large,Medium,Small,X-Small,XX-Large","Rs
2099",1364,35% off,Indianwear-Women
17149,Varanga,Womens round neck floral kurta set - mustard,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
3199",1599,50% off,Indianwear-Women
17150,Ziyaa,Printed rayon mandarin womens straight kurta - red,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1955",782,60% off,Indianwear-Women
17151,Ziyaa,Geometric rayon round neck womens straight kurta - green,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1853",741,60% off,Indianwear-Women
17152,Global desi,Geometric viscose v neck womens regular top - black,"Size:XL,Large,Medium,Small","Rs
1699",1189,30% off,Indianwear-Women
17153,De moza,Solid rayon womens regular length palazzo - navy,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1299",779,40% off,Indianwear-Women
17154,Ziyaa,Floral mandarin rayon womens ethnic set - blue,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2395",958,60% off,Indianwear-Women
